   BENCHMARK INFORMATION
benchmark definition:    /input/student-svcomp-extract-features.xml
name:                    student-svcomp-extract-features
run sets:                sv-comp19_prop-reachsafety, sv-comp19_prop-memsafety, sv-comp19_prop-nooverflow, sv-comp19_prop-termination
date:                    Thu, 2019-07-18 13:39:07 UTC
tool:                    ULTIMATE Automizer 0.1.24-3a3fd35b
tool executable:         ./Ultimate.py
options:                 --full-output
resource limits:
- memory:                8000.0 MB
- time:                  900 s
- cpu cores:             2
hardware requirements:
- cpu cores:             2
- memory:                8000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    82a6a2e96af6
os:                      Linux-4.15.0-54-generic-x86_64-with-debian-9.9
cpu:                     Intel Core i7-3770 CPU @ 3.40GHz
- cores:                 8
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     33637.937152000006 MB
------------------------------------------------------------



sv-comp19_prop-reachsafety
Run set 1 of 4 with options '--full-output' and propertyfile 'None'

inputfile                                                                                                                                                                          status                    cpu time   wall time        host
array-examples/standard_init8_ground-1.yml                                                                                                                                         ERROR (7)                    15.63        9.57        None
array-examples/standard_init8_ground-2.yml                                                                                                                                         ERROR (7)                    15.35        9.37        None
array-examples/standard_init9_ground-1.yml                                                                                                                                         ERROR (7)                    15.47        9.75        None
array-examples/standard_init9_ground-2.yml                                                                                                                                         ERROR (7)                    15.96        9.90        None
array-examples/standard_maxInArray_ground.yml                                                                                                                                      ERROR (7)                    15.30        9.67        None
array-examples/standard_minInArray_ground-1.yml                                                                                                                                    ERROR (7)                    15.14        9.62        None
array-examples/standard_minInArray_ground-2.yml                                                                                                                                    ERROR (7)                    14.60        9.39        None
array-examples/standard_palindrome_ground.yml                                                                                                                                      ERROR (7)                    14.96        9.39        None
array-examples/standard_partial_init_ground.yml                                                                                                                                    ERROR (7)                    15.56        9.07        None
array-examples/standard_partition_ground-1.yml                                                                                                                                     ERROR (7)                    14.99        9.47        None
array-examples/standard_partition_ground-2.yml                                                                                                                                     ERROR (7)                    15.26        9.54        None
array-examples/standard_partition_original_ground.yml                                                                                                                              ERROR (7)                    15.48        9.75        None
array-examples/standard_password_ground.yml                                                                                                                                        ERROR (7)                    15.23        9.52        None
array-examples/standard_reverse_ground.yml                                                                                                                                         ERROR (7)                    14.72        9.26        None
array-examples/standard_running-1.yml                                                                                                                                              ERROR (7)                    16.50       10.36        None
array-examples/standard_running-2.yml                                                                                                                                              ERROR (7)                    16.41       10.46        None
array-examples/standard_sentinel-2.yml                                                                                                                                             ERROR (7)                    15.09        9.41        None
array-examples/standard_sentinel.i.v+cfa-reducer.yml                                                                                                                               ERROR (7)                    14.38        9.15        None
array-examples/standard_seq_init_ground.yml                                                                                                                                        ERROR (7)                    14.33        9.02        None
array-examples/standard_strcmp_ground.yml                                                                                                                                          ERROR (7)                    15.48        9.78        None
array-examples/standard_strcpy_ground-1.yml                                                                                                                                        ERROR (7)                    15.01        9.25        None
array-examples/standard_strcpy_original-2.yml                                                                                                                                      ERROR (7)                    15.62        9.84        None
array-examples/standard_two_index_01.yml                                                                                                                                           ERROR (7)                    14.67        9.20        None
array-examples/standard_two_index_02.yml                                                                                                                                           ERROR (7)                    15.21        9.53        None
array-examples/standard_two_index_03.yml                                                                                                                                           ERROR (7)                    15.29        9.18        None
array-examples/standard_two_index_04.yml                                                                                                                                           ERROR (7)                    15.17        9.49        None
array-examples/standard_two_index_05.yml                                                                                                                                           ERROR (7)                    15.31        9.52        None
array-examples/standard_two_index_06.yml                                                                                                                                           ERROR (7)                    15.12        9.49        None
array-examples/standard_two_index_07.yml                                                                                                                                           ERROR (7)                    14.63        9.27        None
array-examples/standard_two_index_08.yml                                                                                                                                           ERROR (7)                    14.96        9.50        None
array-examples/standard_two_index_09.yml                                                                                                                                           ERROR (7)                    14.77        9.35        None
array-examples/standard_vararg_ground.yml                                                                                                                                          ERROR (7)                    15.01        9.46        None
array-examples/standard_vector_difference_ground.yml                                                                                                                               ERROR (7)                    15.13        9.90        None
array-industry-pattern/array_assert_loop_dep.yml                                                                                                                                   ERROR (7)                    14.18        9.10        None
array-industry-pattern/array_monotonic.yml                                                                                                                                         ERROR (7)                    14.92        9.59        None
array-industry-pattern/array_mul_init.yml                                                                                                                                          ERROR (7)                    15.03        9.59        None
array-industry-pattern/array_of_struct_break.yml                                                                                                                                   ERROR (7)                    21.60       13.18        None
array-industry-pattern/array_of_struct_loop_dep.yml                                                                                                                                ERROR (7)                    20.73       12.41        None
array-industry-pattern/array_of_struct_ptr_cond_init.yml                                                                                                                           ERROR (7)                    16.01        9.94        None
array-industry-pattern/array_of_struct_ptr_flag_init.yml                                                                                                                           ERROR (7)                    15.74        9.95        None
array-industry-pattern/array_of_struct_ptr_monotonic.yml                                                                                                                           ERROR (7)                    15.40        9.72        None
array-industry-pattern/array_of_struct_ptr_mul_init.yml                                                                                                                            ERROR (7)                    23.34       13.92        None
array-industry-pattern/array_of_struct_single_elem_init.yml                                                                                                                        ERROR (7)                    23.96       14.09        None
array-industry-pattern/array_ptr_partial_init.yml                                                                                                                                  ERROR (7)                    14.81        9.39        None
array-industry-pattern/array_ptr_single_elem_init-1.yml                                                                                                                            ERROR (7)                    15.99        9.83        None
array-industry-pattern/array_ptr_single_elem_init-2.yml                                                                                                                            ERROR (7)                    14.49        9.25        None
array-industry-pattern/array_range_init.yml                                                                                                                                        ERROR (7)                    14.56        9.29        None
array-industry-pattern/array_shadowinit.yml                                                                                                                                        ERROR (7)                    15.24        9.73        None
array-industry-pattern/array_single_elem_init.yml                                                                                                                                  ERROR (7)                    14.77        9.39        None
array-industry-pattern/check_removal_from_set_after_insertion.yml                                                                                                                  ERROR (7)                    15.90        9.92        None
reducercommutativity/avg.yml                                                                                                                                                       ERROR (7)                    15.51        9.48        None
reducercommutativity/avg05-1.yml                                                                                                                                                   ERROR (7)                    16.90       10.44        None
reducercommutativity/avg10-2.yml                                                                                                                                                   ERROR (7)                    16.74       10.47        None
reducercommutativity/avg20-2.yml                                                                                                                                                   ERROR (7)                    16.62       10.36        None
reducercommutativity/avg40-2.yml                                                                                                                                                   ERROR (7)                    16.02        9.72        None
reducercommutativity/avg60-1.yml                                                                                                                                                   ERROR (7)                    17.04       10.62        None
reducercommutativity/max.yml                                                                                                                                                       ERROR (7)                    17.47       10.77        None
reducercommutativity/max05-1.yml                                                                                                                                                   ERROR (7)                    16.53       10.16        None
reducercommutativity/max10-1.yml                                                                                                                                                   ERROR (7)                    16.35       10.11        None
reducercommutativity/max20-1.yml                                                                                                                                                   ERROR (7)                    16.81        9.93        None
reducercommutativity/max40-1.yml                                                                                                                                                   ERROR (7)                    16.44        9.92        None
reducercommutativity/max60-2.yml                                                                                                                                                   ERROR (7)                    16.65       10.29        None
reducercommutativity/rangesum.yml                                                                                                                                                  ERROR (7)                    16.32       10.38        None
