   BENCHMARK INFORMATION
benchmark definition:    /input/student-heuristics-extract-features.xml
name:                    student-heuristics-extract-features
run sets:                AutomizerBplInline with feature extraction.Pdr
date:                    Thu, 2019-07-18 10:50:22 UTC
tool:                    ULTIMATE Automizer 0.1.24-3a3fd35b
tool executable:         ./Ultimate.py
options:                 
resource limits:
- memory:                8000.0 MB
- time:                  300 s
- cpu cores:             2
hardware requirements:
- cpu cores:             2
- memory:                8000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    06b07f0a6637
os:                      Linux-4.15.0-54-generic-x86_64-with-debian-9.9
cpu:                     Intel Core i7-3770 CPU @ 3.40GHz
- cores:                 8
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     33637.937152000006 MB
------------------------------------------------------------



AutomizerBplInline with feature extraction.Pdr
Run set 1 of 1 with options '-tc /ultimate/trunk/examples/toolchains/AutomizerBplInline.xml --traceabstraction.use.heuristic.emptiness.check false --traceabstraction.extract.smt.features.during.analysis true --traceabstraction.smt.feature.extraction.dump.path /output/smt/ --traceabstraction.trace.refinement.strategy CAMEL_NO_AM' and propertyfile 'None'

inputfile                                                                                                              status                    cpu time   wall time        host
20170319-ConjunctivePathPrograms/gj2007.c.i_4.bplTransformedIcfg_BEv2_3.bpl                                            ERROR: EXCEPTION              5.64        3.53        None
20170319-ConjunctivePathPrograms/gr2006.c.i_4.bplTransformedIcfg_BEv2_3.bpl                                            ERROR: EXCEPTION              6.50        3.97        None
20170319-ConjunctivePathPrograms/half.i_3.bplTransformedIcfg_BEv2_4.bpl                                                ERROR: EXCEPTION              6.04        3.80        None
20170319-ConjunctivePathPrograms/half_2.i_3.bplTransformedIcfg_BEv2_5.bpl                                              ERROR: EXCEPTION              5.85        3.57        None
20170319-ConjunctivePathPrograms/hhk2008.c.i_3.bplTransformedIcfg_BEv2_3.bpl                                           ERROR: EXCEPTION              6.27        3.80        None
20170319-ConjunctivePathPrograms/interleave_bits.i_3.bplTransformedIcfg_BEv2_4.bpl                                     ERROR: EXCEPTION              5.41        3.42        None
20170319-ConjunctivePathPrograms/jain_5.i_2.bplTransformedIcfg_BEv2_4.bpl                                              ERROR: EXCEPTION              5.62        3.53        None
20170319-ConjunctivePathPrograms/jm2006.c.i_3.bplTransformedIcfg_BEv2_3.bpl                                            ERROR: EXCEPTION              6.90        4.12        None
20170319-ConjunctivePathPrograms/jm2006_variant.c.i_3.bplTransformedIcfg_BEv2_3.bpl                                    ERROR: EXCEPTION              6.34        3.93        None
20170319-ConjunctivePathPrograms/large_const.i_3.bplTransformedIcfg_BEv2_2.bpl                                         ERROR: EXCEPTION              5.96        3.65        None
20170319-ConjunctivePathPrograms/nested.i_4.bplTransformedIcfg_BEv2_3.bpl                                              ERROR: EXCEPTION              6.57        3.93        None
20170319-ConjunctivePathPrograms/nested1.i_4.bplTransformedIcfg_BEv2_12.bpl                                            ERROR: EXCEPTION              5.94        3.66        None
20170319-ConjunctivePathPrograms/nested9.i_3.bplTransformedIcfg_BEv2_4.bpl                                             ERROR: EXCEPTION              7.05        4.15        None
20170319-ConjunctivePathPrograms/num_conversion_1.i_3.bplTransformedIcfg_BEv2_9.bpl                                    ERROR: EXCEPTION              5.84        3.55        None
20170319-ConjunctivePathPrograms/num_conversion_2.i_3.bplTransformedIcfg_BEv2_7.bpl                                    ERROR: EXCEPTION              5.52        3.39        None
20170319-ConjunctivePathPrograms/overflow1.i_3.bplTransformedIcfg_BEv2_4.bpl                                           ERROR: EXCEPTION              5.57        3.49        None
20170319-ConjunctivePathPrograms/pals_lcr-var-start-time.3.1.ufo.BOUNDED-6.pals.c_9.bplTransformedIcfg_BEv2_24.bpl     ERROR: EXCEPTION              8.33        4.84        None
20170319-ConjunctivePathPrograms/pals_lcr-var-start-time.3.1.ufo.UNBOUNDED.pals.c_9.bplTransformedIcfg_BEv2_29.bpl     ERROR: EXCEPTION              8.75        5.04        None
20170319-ConjunctivePathPrograms/pals_lcr-var-start-time.3.2.ufo.BOUNDED-6.pals.c_9.bplTransformedIcfg_BEv2_24.bpl     ERROR: EXCEPTION              8.39        4.84        None
20170319-ConjunctivePathPrograms/pals_lcr-var-start-time.3.ufo.BOUNDED-6.pals.c_9.bplTransformedIcfg_BEv2_24.bpl       ERROR: EXCEPTION              8.95        5.10        None
20170319-ConjunctivePathPrograms/pals_lcr-var-start-time.3.ufo.UNBOUNDED.pals.c_9.bplTransformedIcfg_BEv2_26.bpl       ERROR: EXCEPTION              8.30        4.82        None
20170319-ConjunctivePathPrograms/pals_lcr-var-start-time.4.1.ufo.BOUNDED-8.pals.c_10.bplTransformedIcfg_BEv2_25.bpl    ERROR: EXCEPTION              9.13        5.21        None
20170319-ConjunctivePathPrograms/pals_lcr-var-start-time.4.ufo.BOUNDED-8.pals.c_10.bplTransformedIcfg_BEv2_23.bpl      ERROR: EXCEPTION              8.16        4.73        None
20170319-ConjunctivePathPrograms/pals_lcr.3.ufo.BOUNDED-6.pals.c_13.bplTransformedIcfg_BEv2_23.bpl                     ERROR: EXCEPTION              8.09        4.69        None
20170319-ConjunctivePathPrograms/pals_lcr.3.ufo.UNBOUNDED.pals.c_14.bplTransformedIcfg_BEv2_29.bpl                     ERROR: EXCEPTION              8.20        4.79        None
20170304-DifficultPathPrograms/afnp2014.c.i_3.bpl                                                                      ERROR: EXCEPTION              5.89        3.55        None
